date,actual,y,pred,q67_raw,q67_conformal
2010-12-07,10.0,27.0,19.22479633302421,20.69416778298232,26.29262071622373
2010-12-08,17.0,24.0,19.295747689551845,20.020988835028348,25.61944176826976
2010-12-09,7.0,16.0,21.17211581582306,20.384522510846026,25.982975444087437
2010-12-10,9.0,13.0,16.569794951748857,17.810489873307713,23.408942806549124
2010-12-11,4.0,11.0,11.32333248796441,14.425555564725709,20.02400849796712
2010-12-12,7.0,14.0,14.549444557618415,18.666751856313738,24.26520478955515
2010-12-13,7.0,20.0,18.852481404266282,20.564096458403252,26.162549391644664
2010-12-14,13.0,21.0,19.462451105561993,21.302688260104368,26.90114119334578
2010-12-15,8.0,22.0,20.20874116855344,19.89419412722066,25.492647060462073
2010-12-16,14.0,26.0,19.280462349230838,20.463804603188773,26.062257536430185
2010-12-17,12.0,21.0,16.949395663564577,17.886652218885374,23.485105152126785
2010-12-18,9.0,10.0,12.188123039184253,15.778661616427337,21.377114549668747
2010-12-19,1.0,6.0,15.71333057085818,18.97862585437868,24.577078787620092
2010-12-20,5.0,18.0,17.44380884692986,18.011627979165038,23.61008091240645
2010-12-21,13.0,24.0,17.93145260353956,18.824999418649977,24.423452351891388
2010-12-22,11.0,16.0,19.110130882442114,18.795713836150256,24.394166769391667
2010-12-23,5.0,8.0,18.018820311734387,17.726211409222984,23.324664342464395
2010-12-24,3.0,8.0,11.388508127596053,14.587243827451747,20.18569676069316
2010-12-25,5.0,13.0,5.809857386710663,13.949446925271674,16.077555533579684
2010-12-26,8.0,15.0,10.304178330286053,15.530038824319108,17.658147432627118
2010-12-27,7.0,12.0,16.769883101765473,21.703801955790464,23.83191056409847
2010-12-28,5.0,18.0,17.70768626923786,22.103164072992517,24.231272681300524
2010-12-29,13.0,16.0,16.527903596651484,23.321732333830568,25.449840942138575
2010-12-30,3.0,8.0,15.036479308790959,21.127763988177694,23.255872596485702
